longitude,latitude
76.3759859,10.004526000000002
76.3756263669697,10.004401589715549
76.37524943828727,10.004380120937473
76.37487411537604,10.004428788480517
76.37452231696766,10.00456480131673
76.3743403933728,10.004883515375063
76.374192277392,10.005218967671375
76.37396267204095,10.005513065065202
76.37347443440532,10.005707033288111
76.37312604116475,10.00576707010906
76.37332888280419,10.005649239675806
76.37382332925259,10.005545498336385
76.37397945614104,10.005771673369976
76.37411591167006,10.006133195821269
76.37399739880222,10.006271710041204
76.37427402573135,10.006363518962573
76.37457955537123,10.00662692239322
76.37482370174581,10.006951075045054
76.37468877107506,10.006827858099028
76.3742977188507,10.006472280108703
76.37411502634538,10.00672917503769
76.37416001736038,10.007103905056578
76.3744686423004,10.007486131280633
76.37463577179899,10.007640753677007
76.37434101711355,10.007438500376244
76.37395580680985,10.007247194444627
76.37360335099571,10.007099487241804
76.37307387870938,10.007022782297765
76.37255772566208,10.007009798091039
76.3723343590014,10.007014160796125
76.37263468024385,10.00699545973031
76.37319887563552,10.006973536804308
76.3734824137,10.007003193063433
76.37316995842296,10.00714033115416
76.372818116563,10.00713946374746
76.37277933118767,10.006771561288101
76.37315380900684,10.006697268299233
76.37352102671026,10.006761703390554
76.373876,10.006894
